rune,head,Serial,familiar,body,background,prop,token_id,numTraits,image,name
,Illuminatus,0,,White Wraith,Black,Chroma Crystal,0,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/0.png,Holy Arcanist Illuminus of the Heavens
,Evil One,1,,Black Wraith,Black,Grim Reaper's Breath: the Death Spell,1,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/1.png,Evil Arcanist Black Goat of the Wood
,Koopling,2,,Two Tone Fringe,Black,Caduceus,2,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/2.png,Archmagus Poppy of the Moors
,Creol,3,,Orange Hip Scarf ,Blue,Bag of Tricks,3,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/3.png,Voodoo Priest Caligari of the Mount
,Bard,4,,White Coveralls,Blue,Lucky Horseshoe,4,5,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/4.png,Hedge Wizard Chandler of the Wild
,Astral Arcanist,5,Sapphire Slime,Banded Overall,Blue,Harmony Staff,5,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/5.png,Runecaster Hadrien of Mu
Rune of Pluto,Swamp Witch,6,Bliss Cat,Aristocrat Green,Blue,Guillaume's Broom,6,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/6.png,Wild Mage Rowena of El Dorado
,Rogue Arcanist,7,Sun Cat,All Seeing Robe,Black,Peace Staff,7,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/7.png,Rogue Mage Andy 
,Bernardo,8,Aura Wolf,Orange Harem Pants,Black,Staff,8,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/8.png,Bunny Wizard Bernardo
Rune of Sun,BrainDrain,9,Skramps,Space Chroma,Black,Chroma Crystal,9,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/9.png,Prismatic Magi Braindraind
,ArtChick,10,Lucky Black Cat,Purple Yoga,Black,Salamander's Tongue: the Fire Spell,10,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/10.png,Edge Arcanist Artchick
,Claire Silver,11,Pink Footed Crow,Spandex  Dark,Black,Indigo Moon Staff,11,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/11.png,Crow Master Claire Sliver
,Empress,12,Lucky Black Cat,Rose Yoga,Black,Aphrodite's Heart: the Love Spell,12,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/12.png,The Wizard Empress
,Deeze,13,3D Frog,Deeze Body,Black,Wizard's Pipe,13,6,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/13.png,3D Wizz DeeZe
Rune of Up Only,Felis,14,Jewled Hummingbird,Gold Chain,Black,Golden Bull Staff,14,7,https://ipfs.io/ipfs/QmbtiPZfgUzHd79T1aPcL9yZnhGFmzwar7h4vmfV6rV8Kq/14.png,Cat Wizard El Crypto Ball
